activo_id,patente,marca,modelo,anio_fabricacion,fecha_alta_flota,tipo_vehiculo,motor_tipo,estado_actual,odometro_km,horometro_h,created_at,updated_at
ACE-0011,VKWS98,Volvo,FH,2017,2017-11-10,camion larga distancia,D13,Activo,415600.0,22682.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0012,YGZV55,Iveco,S-Way,2017,2017-01-18,camion larga distancia,Cursor 13,fuera_servicio,186400.0,7616.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0013,YKSD66,MAN,TGS,2026,2026-01-23,camion vocacional,D26,Activo,19900.0,494.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0014,NPPP24,Volvo,FMX,2021,2022-12-27,camion construcción,D13,Activo,86600.0,5346.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0015,YZVL21,MAN,TGM,2020,2021-08-30,camion distribucion,D08,Activo,190400.0,6542.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0016,BHPK68,MAN,TGX,2022,2024-08-01,camion larga distancia,D26,Activo,71200.0,3923.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0017,DLJF02,Volkswagen,Delivery 11.180,2016,2016-03-27,camion distribucion,Cummins ISF 3.8,Activo,530800.0,15063.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0018,PMPV07,MAN,TGS,2015,2015-01-04,camion vocacional,D26,Activo,646000.0,17232.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0019,KLZX07,Scania,R450,2020,2021-11-06,camion larga distancia,DC13,Activo,201300.0,18122.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0020,STFW05,Hino,FM,2015,2015-03-08,camion carga pesada,A09C,Activo,720300.0,23924.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0021,YXHL20,Mercedes,Atego,2019,2019-09-17,camion distribucion,OM924,Activo,844000.0,12360.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0022,WLXG85,Freightliner,Cascadia,2023,2023-01-17,camion larga distancia,Detroit DD15,Activo,103000.0,7228.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0023,MBJK94,Volkswagen,Constellation 24.280,2020,2021-09-18,camion distribucion,MAN D08,Activo,238400.0,20577.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0024,BJMC77,Kenworth,T370,2024,2024-12-31,camion vocacional,PACCAR PX-9,Activo,173200.0,3000.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0025,JZHG66,Freightliner,Cascadia,2017,2017-04-11,camion larga distancia,Detroit DD15,Activo,532100.0,12812.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0026,ZZPV64,Volkswagen,Constellation 25.360,2026,2026-03-10,camion carga pesada,MAN D08,Activo,10900.0,290.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0027,KRGY96,Volkswagen,Constellation 24.280,2022,2022-11-08,camion distribucion,MAN D08,Activo,392000.0,7030.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0028,ZYBP98,Iveco,S-Way,2017,2017-09-01,camion larga distancia,Cursor 13,Activo,1177600.0,22623.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0029,CWMY77,Iveco,Tector,2015,2015-03-29,camion distribucion,NEF 6,Activo,390100.0,19491.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0030,NLJK82,Scania,S500,2019,2019-07-09,camion larga distancia,DC13,Activo,235100.0,5956.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0031,SZCS93,Hino,FM,2021,2021-09-05,camion carga pesada,A09C,Activo,160700.0,6588.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0032,SZJG84,Scania,G410,2023,2023-01-22,camion carga pesada,DC13,Activo,255900.0,5080.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0033,WBXP15,Volkswagen,Meteor 29.520,2020,2021-06-09,camion larga distancia,MAN D26,Activo,449300.0,7062.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0034,LMBR44,International,HV Series,2021,2021-02-02,camion vocacional,Cummins L9,Activo,202100.0,7993.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0035,PDTN60,International,HV Series,2026,2026-04-18,camion vocacional,International A26,Activo,10700.0,304.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0036,TTSG64,Isuzu,FRR,2021,2022-05-29,camion distribucion,4HK1,Activo,197500.0,6263.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0037,MTZR69,Volvo,FH,2019,2019-10-07,camion larga distancia,D13,Activo,487000.0,15606.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0038,VRJN44,International,HV Series,2024,2024-05-09,camion vocacional,Cummins L9,Activo,69200.0,6057.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0039,RJSH61,Scania,R450,2023,2023-01-20,camion larga distancia,DC13,Activo,146900.0,5644.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0040,SFWN63,Kenworth,T370,2019,2019-12-28,camion vocacional,PACCAR PX-9,Activo,237400.0,7310.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0041,TZXT47,Volvo,FM,2024,2024-04-27,camion carga pesada,D13,Activo,75500.0,3297.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0042,KFYH08,Mercedes,Arocs,2019,2020-10-09,camion construcción,OM471,Activo,140300.0,8007.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0043,SBHR28,Volkswagen,Constellation 17.280,2023,2025-06-27,camion distribucion,MAN D08,Activo,73200.0,1275.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0044,BTBY43,Volvo,FMX,2025,2025-10-31,camion construcción,D13,Activo,27600.0,944.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0045,SSBG75,Volkswagen,Meteor 29.520,2017,2017-12-24,camion larga distancia,MAN D26,Activo,520300.0,19833.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0046,LWKW50,Hino,FM,2015,2016-08-13,camion carga pesada,A09C,Activo,1087100.0,18128.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0047,PXZX51,Volvo,FH,2020,2020-09-14,camion larga distancia,D13,Activo,426100.0,11950.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0048,SGNV81,Hino,500,2018,2018-04-19,camion distribucion,J08E,Activo,402900.0,21204.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0049,YWNL97,Hino,GH,2025,2025-07-09,camion distribucion,J08E,Activo,42500.0,1875.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0050,TVWJ39,Volkswagen,Constellation 17.280,2026,2026-02-21,camion distribucion,MAN D08,Activo,26700.0,484.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0051,PNFM45,Volvo,FM,2018,2018-06-24,camion carga pesada,D11,Activo,176600.0,14494.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0052,FGMD62,Scania,R450,2021,2021-09-18,camion larga distancia,DC13,Activo,274200.0,9866.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0053,MRDT87,Freightliner,M2 106,2018,2020-02-05,camion distribucion,Cummins ISB,Activo,127800.0,4828.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0054,JWWV34,Volkswagen,Constellation 31.280,2015,2015-06-20,camion vocacional,MAN D08,Activo,761400.0,18512.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0055,PWBJ55,Volvo,VM,2023,2023-06-08,camion distribucion,D8,Activo,84900.0,4927.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0056,SDSG17,Iveco,Trakker,2021,2023-09-04,camion faena,Cursor 13,Activo,180100.0,2889.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0057,HGWX26,Iveco,Stralis,2018,2019-01-26,camion larga distancia,Cursor 13,Activo,155700.0,22333.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0058,BZSX35,Ford,Cargo 1933,2017,2018-07-12,camion carga pesada,Cummins ISL,Activo,366100.0,8733.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0059,JFJY06,Volkswagen,Constellation 24.280,2016,2017-11-12,camion distribucion,MAN D08,Activo,919300.0,16363.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0060,RYDX86,Freightliner,M2 112,2018,2018-08-31,camion vocacional,Detroit DD13,Activo,909000.0,16569.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0061,YMBW59,Volvo,FMX,2022,2023-08-26,camion construcción,D13,Activo,84100.0,4115.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0062,WYXZ53,Scania,P360,2019,2019-02-28,camion distribucion,DC13,Activo,318900.0,11991.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0063,ZSFY88,Kenworth,T680,2026,2026-03-22,camion larga distancia,PACCAR MX-13,Activo,18800.0,349.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0064,CRVD16,Mercedes,Axor,2017,2017-07-30,camion carga pesada,OM457,Activo,869600.0,19119.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0065,BYTR42,Volvo,FH16,2016,2016-05-10,camion extra pesado,D16,Activo,590100.0,17150.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0066,BTPF97,Ford,Cargo 1933,2015,2016-01-04,camion carga pesada,Cummins ISL,Activo,197500.0,11481.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0067,SKPY88,Scania,S500,2019,2020-04-12,camion larga distancia,DC13,Activo,212500.0,31171.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0068,LWWM70,Volvo,FH,2019,2019-02-20,camion larga distancia,D13,Activo,868400.0,14739.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0069,JYZG74,Freightliner,M2 106,2024,2025-04-04,camion distribucion,Cummins ISB,Activo,49900.0,7330.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0070,ZZYG68,Kenworth,T680,2019,2019-09-04,camion larga distancia,Cummins X15,Activo,211700.0,11231.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0071,ZKDB46,Volvo,FH,2016,2017-07-17,camion larga distancia,D13,Activo,430800.0,47219.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0072,WDXH98,International,HV Series,2026,2026-01-24,camion vocacional,International A26,Activo,48700.0,919.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0073,BBSV80,Iveco,Tector,2016,2016-02-19,camion distribucion,NEF 6,Activo,771700.0,16016.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0074,YXWK93,MAN,TGL,2023,2023-04-07,camion distribucion,D08,Activo,127100.0,4992.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0075,GFGH61,International,HV Series,2025,2025-05-08,camion vocacional,Cummins L9,Activo,96800.0,1995.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0076,HRRJ55,Iveco,Trakker,2020,2022-06-15,camion faena,Cursor 13,Activo,91600.0,4980.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0077,SXLV19,Iveco,Tector,2025,2025-05-04,camion distribucion,NEF 6,Activo,28700.0,3666.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0078,MYTS95,Mercedes,Actros,2026,2026-01-30,camion larga distancia,OM471,Activo,25300.0,417.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0079,NFCR69,Mercedes,Axor,2026,2026-02-23,camion carga pesada,OM457,Activo,9900.0,378.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0080,TFGN22,Kenworth,T680,2026,2026-03-17,camion larga distancia,Cummins X15,Activo,21200.0,367.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0081,VKLM10,MAN,TGM,2018,2019-09-30,camion distribucion,D08,Activo,258100.0,14455.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0082,YPBT87,Isuzu,CYZ,2024,2024-05-16,camion carga pesada,6UZ1,Activo,218100.0,3326.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0083,HRLP60,Ford,Cargo 1933,2015,2016-02-26,camion carga pesada,Cummins ISL,Activo,355100.0,8941.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0084,WGCT69,Volvo,FH16,2020,2020-12-12,camion extra pesado,D13,Activo,190200.0,7074.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0085,WDCW96,Iveco,Trakker,2026,2026-02-01,camion faena,Cursor 13,Activo,12200.0,658.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0086,ZWKR42,Mercedes,Arocs,2019,2020-07-29,camion construcción,OM471,Activo,483800.0,8587.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0087,JBWL25,Iveco,Stralis,2026,2026-05-10,camion larga distancia,Cursor 10,de baja,4900.0,118.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0088,GMCN61,Scania,G410,2023,2024-08-24,camion carga pesada,DC13,Activo,37900.0,2238.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0089,CJLY79,Hino,500,2019,2021-04-11,camion distribucion,J08E,Activo,440100.0,13822.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0090,JWVJ00,Ford,Cargo 1933,2023,2023-11-06,camion carga pesada,Cummins ISL,Activo,236500.0,4113.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0091,ZMNH02,Freightliner,M2 106,2026,2026-03-07,camion distribucion,Cummins ISL,Activo,11800.0,410.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0092,JKWY91,Iveco,S-Way,2016,2017-05-24,camion larga distancia,Cursor 13,Activo,460800.0,11558.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0093,MKFV45,Iveco,S-Way,2016,2016-06-01,camion larga distancia,Cursor 13,Activo,238500.0,9167.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0094,BNKR58,International,WorkStar,2026,2026-03-27,camion vocacional,MaxxForce 13,Activo,7900.0,263.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0095,PRHC36,Volvo,FH16,2018,2019-04-11,camion extra pesado,D13,Activo,450200.0,13034.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0096,GZSD39,MAN,TGS,2024,2024-04-29,camion vocacional,D26,Activo,70100.0,3776.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0097,VVVV02,International,HV Series,2017,2017-05-18,camion vocacional,International A26,Activo,188100.0,7993.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0098,ZCPY90,Volkswagen,Meteor 29.520,2016,2017-01-22,camion larga distancia,MAN D26,Activo,176600.0,16267.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0099,XSKL21,International,LT Series,2018,2018-07-03,camion larga distancia,Cummins X15,Activo,161700.0,9114.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0100,BNFB33,Iveco,Trakker,2024,2025-08-30,camion faena,Cursor 13,Activo,27500.0,951.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0101,FSNN57,Volvo,FH,2023,2023-12-26,camion larga distancia,D13,Activo,138200.0,3631.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0102,KLJL84,Isuzu,FVR,2015,2015-04-03,camion distribucion,6HK1,Activo,900300.0,14110.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0103,YBTP42,MAN,TGX,2021,2021-07-18,camion larga distancia,D38,Activo,229500.0,7383.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0104,SMMT10,Ford,Cargo 1723,2019,2020-08-18,camion carga mediana,Cummins ISB,Activo,124000.0,8502.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0105,TCLM89,Volkswagen,Meteor 28.460,2019,2019-11-01,camion larga distancia,MAN D26,Activo,474900.0,9480.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0106,DZBV10,Iveco,Tector,2024,2024-07-12,camion distribucion,NEF 6,Activo,192600.0,4022.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0107,RHXH27,Hino,GH,2026,2026-02-04,camion distribucion,J08E,Activo,8900.0,378.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0108,HJHN90,Iveco,Trakker,2022,2022-01-29,camion faena,Cursor 13,Activo,291700.0,8576.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0109,TBVZ98,Ford,Cargo 1933,2025,2025-02-15,camion carga pesada,Cummins ISL,Activo,169300.0,3123.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0110,NTMJ82,Mercedes,Actros,2024,2025-12-31,camion larga distancia,OM471,Activo,22300.0,741.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0111,YFHJ02,Volvo,FMX,2017,2017-03-01,camion construcción,D13,Activo,992100.0,16401.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0112,LCDD37,Isuzu,FVR,2020,2021-02-19,camion distribucion,6HK1,Activo,160600.0,6158.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0113,RJNY44,Ford,Cargo 1933,2023,2024-10-18,camion carga pesada,Cummins ISL,Activo,85400.0,2790.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0114,HDJN71,Freightliner,M2 112,2024,2025-08-26,camion vocacional,Detroit DD13,Activo,37600.0,2140.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0115,WLWL41,Kenworth,T880,2026,2026-01-07,camion vocacional pesado,PACCAR MX-13,Activo,38300.0,833.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0116,YWKS86,Volkswagen,Constellation 25.360,2015,2015-08-25,camion carga pesada,MAN D08,Activo,444500.0,15171.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0117,YCWJ53,Volkswagen,Constellation 19.320,2018,2018-12-02,camion carga pesada,MAN D08,Activo,317800.0,9927.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0118,JCNZ61,Iveco,Tector,2019,2019-11-23,camion distribucion,NEF 6,Activo,362000.0,13183.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0119,SSNW37,Volvo,VM,2015,2015-01-13,camion distribucion,D8,Activo,573200.0,17864.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0120,CMSN23,Scania,R440,2021,2021-09-26,camion larga distancia,DC13,Activo,298700.0,7869.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0121,WWGR82,Volkswagen,Meteor 28.460,2019,2021-01-25,camion larga distancia,MAN D26,Activo,115200.0,5464.5,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0122,JXVN59,Scania,P360,2018,2018-09-29,camion distribucion,DC09,Activo,188300.0,7940.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0123,FLXH88,Volkswagen,Constellation 19.320,2021,2021-08-23,camion carga pesada,MAN D08,Activo,197800.0,11161.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0124,JJWJ28,Ford,Cargo 1933,2023,2024-12-09,camion carga pesada,Cummins ISL,Activo,48100.0,2448.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0125,FZJY33,Isuzu,NPR,2022,2023-02-22,camion distribucion,4HK1,Activo,217300.0,5025.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0126,PMMD06,Volkswagen,Meteor 29.520,2020,2021-04-18,camion larga distancia,MAN D26,Activo,534900.0,8246.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0127,CJCB01,Volvo,FH16,2024,2024-01-11,camion extra pesado,D13,Activo,85300.0,11279.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0128,GLMP84,Mercedes,Atego,2026,2026-01-14,camion distribucion,OM926,Activo,31900.0,1047.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0129,FVRF36,Mercedes,Atego,2026,2026-03-07,camion distribucion,OM926,Activo,22800.0,488.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0130,VTCY30,Volkswagen,Delivery 13.180,2022,2022-08-28,camion distribucion,Cummins ISF 3.8,Activo,252600.0,8550.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0131,LHHF14,Iveco,Trakker,2024,2024-09-02,camion faena,Cursor 13,Activo,122500.0,2047.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0132,XVVZ31,Scania,R440,2016,2016-11-19,camion larga distancia,DC13,Activo,822800.0,15085.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0133,MHHD00,Mercedes,Atego,2015,2015-03-21,camion distribucion,OM926,Activo,365700.0,49097.6,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0134,DTFR42,Volkswagen,Delivery 9.170,2017,2018-12-21,camion distribucion,Cummins ISF 3.8,Activo,189900.0,10048.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0135,YWJD61,Volvo,FMX,2025,2026-05-13,camion construcción,D13,de baja,8400.0,143.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0136,KGVC87,Volkswagen,Delivery 13.180,2020,2021-05-21,camion distribucion,Cummins ISF 3.8,Activo,312300.0,5967.0,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0137,HVSL02,Volkswagen,Meteor 28.460,2026,2026-05-18,camion larga distancia,MAN D26,Activo,3400.0,104.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0138,CBDH86,Isuzu,FRR,2020,2020-09-08,camion distribucion,4HK1,Activo,500700.0,8094.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
