sku,descripcion,sistema,componente,proveedor_principal,lead_time_dias_promedio,costo_unitario_clp,stock_actual,stock_minimo,criticidad,rotacion,activo,updated_at
REP-0089,Disco de freno trasero para camioneta,Sistema de frenos,,No indicado,2.0,40000.0,3.0,2.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0090,Pastilla frontal derecha,Sistema de Frenos,,No indicado,30.0,97500.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0091,Disco de freno trasero para camión liviano,Sistema de frenos,,No indicado,2.0,58000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0092,Sello diferencial reforzado,Transmisión,,No indicado,30.0,145000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0093,Disco de freno trasero para camión pesado,Sistema de frenos,,No indicado,2.0,97000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0094,Regulador de carga,Sistema Eléctrico,,No indicado,30.0,165000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0095,Casquete de suspensión,Sistema de Suspensión,,No indicado,30.0,38750.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0097,Aceite motor premium 20L,Motor,,No indicado,30.0,85000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0098,Líquido de frenos DOT 3 para auto liviano,Sistema de frenos,,No indicado,2.0,6000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0099,Líquido de frenos DOT 3 para bus,Sistema de frenos,,No indicado,2.0,13000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0100,Ventilador eléctrico,Sistema de Enfriamiento,,No indicado,30.0,125000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0101,Combustible para limpieza,Sistema de Combustible,,No indicado,30.0,33000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0102,Líquido de frenos DOT 3 para camioneta,Sistema de frenos,,No indicado,2.0,7500.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0104,Tubería hidráulica 2 metros,Sistema Hidráulico,,No indicado,30.0,97500.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0105,Aceite para balanceo,Sistema de Dirección,,No indicado,30.0,95000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0103,Líquido de frenos DOT 3 para camión liviano,Sistema de frenos,,No indicado,2.0,11000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0106,Líquido de frenos DOT 3 para camión pesado,Sistema de frenos,,No indicado,2.0,18000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0107,Líquido de frenos DOT 3 para van,Sistema de frenos,,No indicado,2.0,8000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0108,Líquido de frenos DOT 4 para auto liviano,Sistema de frenos,,No indicado,2.0,8000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0109,Líquido de frenos DOT 4 para bus,Sistema de frenos,,No indicado,2.0,18000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0110,Líquido de frenos DOT 4 para camioneta,Sistema de frenos,,No indicado,2.0,10000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0111,Líquido de frenos DOT 4 para camión liviano,Sistema de frenos,,No indicado,2.0,14000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0112,Líquido de frenos DOT 4 para camión pesado,Sistema de frenos,,No indicado,2.0,24000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0113,Líquido de frenos DOT 4 para van,Sistema de frenos,,No indicado,11.0,11000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0114,Manguera flexible de freno delantera para auto liviano,Sistema de frenos,,No indicado,11.0,12000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0115,Manguera flexible de freno delantera para bus,Sistema de frenos,,No indicado,11.0,26000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0116,Manguera flexible de freno delantera para camioneta,Sistema de frenos,,No indicado,11.0,15000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0117,Manguera flexible de freno delantera para camión liviano,Sistema de frenos,,No indicado,11.0,22000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0118,Manguera flexible de freno delantera para camión pesado,Sistema de frenos,,No indicado,11.0,36000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0119,Manguera flexible de freno delantera para van,Sistema de frenos,,No indicado,11.0,16000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0120,Manguera flexible de freno trasera para auto liviano,Sistema de frenos,,No indicado,11.0,12000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0121,Manguera flexible de freno trasera para bus,Sistema de frenos,,No indicado,11.0,26000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0122,Manguera flexible de freno trasera para camioneta,Sistema de frenos,,No indicado,11.0,15000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0123,Manguera flexible de freno trasera para camión liviano,Sistema de frenos,,No indicado,11.0,22000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0124,Manguera flexible de freno trasera para camión pesado,Sistema de frenos,,No indicado,11.0,36000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0125,Manguera flexible de freno trasera para van,Sistema de frenos,,No indicado,11.0,16000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0126,Pastillas de freno delanteras para auto liviano,Sistema de frenos,,No indicado,11.0,26000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0127,Pastillas de freno delanteras para bus,Sistema de frenos,,No indicado,11.0,57000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0128,Pastillas de freno delanteras para camioneta,Sistema de frenos,,No indicado,11.0,32000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0129,Pastillas de freno delanteras para camión liviano,Sistema de frenos,,No indicado,2.0,47000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0130,Pastillas de freno delanteras para camión pesado,Sistema de frenos,,No indicado,2.0,78000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0131,Pastillas de freno delanteras para van,Sistema de frenos,,No indicado,2.0,35000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0132,Pastillas de freno traseras para auto liviano,Sistema de frenos,,No indicado,2.0,25000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0133,Pastillas de freno traseras para bus,Sistema de frenos,,No indicado,2.0,54000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0134,Pastillas de freno traseras para camioneta,Sistema de frenos,,No indicado,2.0,31000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0135,Pastillas de freno traseras para camión liviano,Sistema de frenos,,No indicado,2.0,44000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0136,Pastillas de freno traseras para camión pesado,Sistema de frenos,,No indicado,2.0,74000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0137,Pastillas de freno traseras para van,Sistema de frenos,,No indicado,2.0,33000.0,24.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0138,Sensor ABS delantero para auto liviano,Sistema de frenos,,No indicado,3.0,28000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0140,Sensor ABS delantero para camioneta,Sistema de frenos,,No indicado,3.0,35000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0141,Sensor ABS delantero para camión liviano,Sistema de frenos,,No indicado,3.0,50000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0142,Sensor ABS delantero para camión pesado,Sistema de frenos,,No indicado,3.0,84000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0143,Sensor ABS delantero para van,Sistema de frenos,,No indicado,3.0,38000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0144,Sensor ABS trasero para auto liviano,Sistema de frenos,,No indicado,3.0,28000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0145,Sensor de desgaste de pastillas de freno para auto liviano,Sistema de frenos,,No indicado,3.0,15000.0,11.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0146,Sensor de desgaste de pastillas de freno para bus,Sistema de frenos,,No indicado,3.0,33000.0,11.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0147,Sensor de desgaste de pastillas de freno para camioneta,Sistema de frenos,,No indicado,3.0,19000.0,11.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0148,Sensor de desgaste de pastillas de freno para camión liviano,Sistema de frenos,,No indicado,3.0,27000.0,11.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0149,Sensor de desgaste de pastillas de freno para camión pesado,Sistema de frenos,,No indicado,3.0,45000.0,11.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0150,Sensor de desgaste de pastillas de freno para van,Sistema de frenos,,No indicado,3.0,20000.0,11.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0151,Servofreno para auto liviano,Sistema de frenos,,No indicado,30.0,95000.0,11.0,10.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0152,Servofreno para bus,Sistema de frenos,,No indicado,30.0,210000.0,11.0,10.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0153,Servofreno para camioneta,Sistema de frenos,,No indicado,30.0,120000.0,11.0,10.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0154,Servofreno para camión liviano,Sistema de frenos,,No indicado,30.0,170000.0,11.0,10.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0155,Servofreno para camión pesado,Sistema de frenos,,No indicado,30.0,285000.0,11.0,10.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0156,Servofreno para van,Sistema de frenos,,No indicado,30.0,130000.0,11.0,10.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0157,Tambor de freno trasero para auto liviano,Sistema de frenos,,No indicado,3.0,45000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0158,Tambor de freno trasero para bus,Sistema de frenos,,No indicado,3.0,99000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0159,Tambor de freno trasero para camioneta,Sistema de frenos,,No indicado,3.0,56000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0160,Tambor de freno trasero para camión liviano,Sistema de frenos,,No indicado,3.0,81000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0161,Tambor de freno trasero para camión pesado,Sistema de frenos,,No indicado,3.0,135000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0162,Tambor de freno trasero para van,Sistema de frenos,,No indicado,3.0,61000.0,11.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0169,Bujía de iridio para auto liviano,Motor,,No indicado,2.0,12000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0170,Bujía de iridio para bus,Motor,,No indicado,2.0,26000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0171,Bujía de iridio para camioneta,Motor,,No indicado,2.0,15000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0172,Bujía de iridio para camión liviano,Motor,,No indicado,2.0,22000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0173,Bujía de iridio para camión pesado,Motor,,No indicado,2.0,36000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0174,Bujía de iridio para van,Motor,,No indicado,2.0,16000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0175,Bujía de níquel para auto liviano,Motor,,No indicado,2.0,5000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0176,Bujía de níquel para bus,Motor,,No indicado,2.0,11000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0177,Bujía de níquel para camioneta,Motor,,No indicado,2.0,6000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0178,Bujía de níquel para camión liviano,Motor,,No indicado,2.0,9000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0179,Bujía de níquel para camión pesado,Motor,,No indicado,2.0,15000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0180,Bujía de níquel para van,Motor,,No indicado,2.0,7000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0181,Bujía incandescente diésel para auto liviano,Motor,,No indicado,2.0,9000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0182,Bujía incandescente diésel para bus,Motor,,No indicado,2.0,20000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0183,Bujía incandescente diésel para camioneta,Motor,,No indicado,2.0,11000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0184,Bujía incandescente diésel para camión liviano,Motor,,No indicado,2.0,16000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0185,Bujía incandescente diésel para camión pesado,Motor,,No indicado,2.0,27000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0186,Bujía incandescente diésel para van,Motor,,No indicado,2.0,12000.0,24.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0187,Correa de accesorios para auto liviano,Motor,,No indicado,2.0,14000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0188,Correa de accesorios para bus,Motor,,No indicado,2.0,31000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0189,Correa de accesorios para camioneta,Motor,,No indicado,2.0,18000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0190,Correa de accesorios para camión liviano,Motor,,No indicado,2.0,25000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0191,Correa de accesorios para camión pesado,Motor,,No indicado,2.0,42000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0192,Correa de accesorios para van,Motor,,No indicado,2.0,19000.0,24.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0193,Correa de distribución para auto liviano,Motor,,No indicado,2.0,12000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0194,Correa de distribución para bus,Motor,,No indicado,2.0,26000.0,24.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0208,Filtro de aire para camión liviano,Motor,,No indicado,2.0,13000.0,22.0,21.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0209,Filtro de aire para camión pesado,Motor,,No indicado,2.0,21000.0,22.0,21.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0210,Filtro de aire para van,Motor,,No indicado,2.0,9500.0,22.0,21.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0211,Kit de distribución para auto liviano,Motor,,No indicado,3.0,52000.0,22.0,21.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0212,Kit de distribución para bus,Motor,,No indicado,3.0,115000.0,22.0,21.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0213,Kit de distribución para camioneta,Motor,,No indicado,3.0,65000.0,22.0,21.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0214,Kit de distribución para camión liviano,Motor,,No indicado,3.0,94000.0,22.0,21.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0215,Kit de distribución para camión pesado,Motor,,No indicado,3.0,155000.0,22.0,21.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0216,Kit de distribución para van,Motor,,No indicado,3.0,70000.0,22.0,21.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0220,Rodamiento auxiliar de correa de distribución para camión liviano,Motor,,No indicado,3.0,32000.0,7.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0221,Rodamiento auxiliar de correa de distribución para camión pesado,Motor,,No indicado,3.0,54000.0,6.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0222,Rodamiento auxiliar de correa de distribución para van,Motor,,No indicado,3.0,24000.0,10.0,10.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0223,Soporte de motor derecho para auto liviano,Motor,,No indicado,4.0,45000.0,22.0,21.0,media,baja,True,2026-05-22 20:41:10.387996
REP-0224,Soporte de motor derecho para bus,Motor,,No indicado,4.0,99000.0,22.0,21.0,media,baja,True,2026-05-22 20:41:10.387996
REP-0225,Soporte de motor derecho para camioneta,Motor,,No indicado,4.0,56000.0,22.0,21.0,media,baja,True,2026-05-22 20:41:10.387996
REP-0272,Manguera inferior de radiador para van,Sistema de enfriamiento,,No indicado,3.0,22000.0,4.0,4.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0273,Manguera superior de radiador para auto liviano,Sistema de enfriamiento,,No indicado,3.0,16000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0061,Cilindro de rueda trasero para auto liviano,Sistema de frenos,,No indicado,3.0,18000.0,7.0,6.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0274,Manguera superior de radiador para bus,Sistema de enfriamiento,,No indicado,3.0,35000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0275,Manguera superior de radiador para camioneta,Sistema de enfriamiento,,No indicado,3.0,20000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0276,Manguera superior de radiador para camión liviano,Sistema de enfriamiento,,No indicado,3.0,29000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0277,Manguera superior de radiador para camión pesado,Sistema de enfriamiento,,No indicado,3.0,48000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0278,Manguera superior de radiador para van,Sistema de enfriamiento,,No indicado,3.0,22000.0,4.0,6.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0279,Radiador de agua para auto liviano,Sistema de enfriamiento,,No indicado,4.0,65000.0,4.0,3.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0281,Radiador de agua para camioneta,Sistema de enfriamiento,,No indicado,4.0,81000.0,4.0,3.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0282,Radiador de agua para camión liviano,Sistema de enfriamiento,,No indicado,4.0,115000.0,4.0,3.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0283,Radiador de agua para camión pesado,Sistema de enfriamiento,,No indicado,4.0,195000.0,4.0,3.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0284,Radiador de agua para van,Sistema de enfriamiento,,No indicado,4.0,88000.0,4.0,3.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0285,Refrigerante concentrado para auto liviano,Sistema de enfriamiento,,No indicado,2.0,12000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0286,Refrigerante concentrado para bus,Sistema de enfriamiento,,No indicado,2.0,26000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0287,Refrigerante concentrado para camioneta,Sistema de enfriamiento,,No indicado,2.0,15000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0288,Refrigerante concentrado para camión liviano,Sistema de enfriamiento,,No indicado,2.0,22000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0289,Refrigerante concentrado para camión pesado,Sistema de enfriamiento,,No indicado,2.0,36000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0290,Refrigerante concentrado para van,Sistema de enfriamiento,,No indicado,2.0,16000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0291,Refrigerante listo para usar para auto liviano,Sistema de enfriamiento,,No indicado,2.0,9000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0292,Refrigerante listo para usar para bus,Sistema de enfriamiento,,No indicado,2.0,20000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0293,Refrigerante listo para usar para camioneta,Sistema de enfriamiento,,No indicado,2.0,11000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0294,Refrigerante listo para usar para camión liviano,Sistema de enfriamiento,,No indicado,2.0,16000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0295,Refrigerante listo para usar para camión pesado,Sistema de enfriamiento,,No indicado,2.0,27000.0,4.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0297,Sensor de temperatura de refrigerante para auto liviano,Sistema de enfriamiento,,No indicado,3.0,14000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0298,Sensor de temperatura de refrigerante para bus,Sistema de enfriamiento,,No indicado,3.0,31000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
