activo_id,fecha_corte,horizonte_dias,edad_dias,edad_anos,odometro_actual,horometro_actual,km_dia_promedio,horas_dia_promedio,dias_desde_ultima_ot,count_ot_30d,count_ot_90d,count_correctivas_30d,count_correctivas_90d,costo_total_30d,costo_total_90d,dias_ult_correctiva_motor,dias_ult_correctiva_frenos,dias_ult_correctiva_transmision,target,created_at,count_ot_7d,count_correctivas_7d,costo_total_7d,mtbf_90d
ACE-0033,2026-01-16,7,1682.0,4.605065023956194,416510.0,6480.7,-1.0,-1.0,36.0,-1.0,3.0,-1.0,-1.0,-1.0,1090000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0034,2026-01-16,7,1809.0,4.952772073921971,154712.0,5793.0,-1.0,-1.0,427.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0035,2026-01-16,7,-92.0,-0.2518822724161533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0036,2026-01-16,7,1328.0,3.6358658453114305,176012.0,5532.4,-1.0,-1.0,47.0,-1.0,2.0,-1.0,-1.0,-1.0,937000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0037,2026-01-16,7,2293.0,6.277891854893908,374668.0,12010.4,-1.0,-1.0,453.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0038,2026-01-16,7,617.0,1.6892539356605065,53056.0,4693.9,-1.0,-1.0,46.0,-1.0,1.0,-1.0,1.0,-1.0,1733000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0039,2026-01-16,7,1092.0,2.9897330595482545,130380.0,5054.6,-1.0,-1.0,5.0,1.0,4.0,-1.0,1.0,325000.0,1677000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,1,-1,325000.0,-1
ACE-0040,2026-01-16,7,2211.0,6.053388090349076,216105.0,6679.6,-1.0,-1.0,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0041,2026-01-16,7,629.0,1.7221081451060918,56645.0,2494.1,-1.0,-1.0,73.0,-1.0,1.0,-1.0,-1.0,-1.0,465000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0042,2026-01-16,7,1925.0,5.270362765229295,126869.0,7321.1,-1.0,-1.0,89.0,-1.0,1.0,-1.0,1.0,-1.0,2572000.0,-1.0,-1.0,-1.0,1,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0043,2026-01-16,7,203.0,0.5557837097878165,16753.0,295.1,-1.0,-1.0,108.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0044,2026-01-16,7,77.0,0.2108145106091718,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0045,2026-01-16,7,2945.0,8.062970568104038,498015.0,18787.2,-1.0,-1.0,21.0,1.0,1.0,1.0,1.0,1860000.0,1860000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0046,2026-01-16,7,3443.0,9.426420260095824,1053600.0,17440.2,-1.0,-1.0,13.0,2.0,3.0,1.0,1.0,1124000.0,1569000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0047,2026-01-16,7,1950.0,5.338809034907597,385150.0,10967.9,-1.0,-1.0,67.0,-1.0,1.0,-1.0,-1.0,-1.0,284000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0048,2026-01-16,7,2829.0,7.745379876796714,359261.0,19163.5,-1.0,-1.0,222.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0049,2026-01-16,7,191.0,0.5229295003422314,21440.0,884.5,-1.0,-1.0,39.0,-1.0,2.0,-1.0,-1.0,-1.0,1146000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0050,2026-01-16,7,-36.0,-0.09856262833675565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0051,2026-01-16,7,2763.0,7.564681724845996,167814.0,13729.6,-1.0,-1.0,37.0,-1.0,3.0,-1.0,-1.0,-1.0,1421000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0052,2026-01-16,7,1581.0,4.328542094455853,239436.0,8449.4,-1.0,-1.0,112.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0053,2026-01-16,7,2172.0,5.946611909650924,113430.0,4276.6,-1.0,-1.0,145.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0054,2026-01-16,7,3863.0,10.576317590691307,719961.0,17730.1,-1.0,-1.0,84.0,-1.0,1.0,-1.0,1.0,-1.0,1892000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0055,2026-01-16,7,953.0,2.6091718001368926,70742.0,4058.0,-1.0,-1.0,63.0,-1.0,1.0,-1.0,1.0,-1.0,1357000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0056,2026-01-16,7,865.0,2.3682409308692676,154160.0,2496.0,-1.0,-1.0,33.0,-1.0,1.0,-1.0,1.0,-1.0,1963000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0057,2026-01-16,7,2547.0,6.973305954825462,133126.0,19708.1,-1.0,-1.0,260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0058,2026-01-16,7,2745.0,7.515400410677618,354934.0,8302.9,-1.0,-1.0,7.0,1.0,1.0,1.0,1.0,731000.0,731000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0059,2026-01-16,7,2987.0,8.177960301163587,869971.0,15475.7,-1.0,-1.0,78.0,-1.0,1.0,-1.0,1.0,-1.0,1072000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0060,2026-01-16,7,2695.0,7.378507871321013,832379.0,15382.9,-1.0,-1.0,93.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0061,2026-01-16,7,874.0,2.3928815879534566,60494.0,2912.2,-1.0,-1.0,166.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0062,2026-01-16,7,2514.0,6.882956878850103,292023.0,10867.1,-1.0,-1.0,142.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0063,2026-01-16,7,-65.0,-0.17796030116358658,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0064,2026-01-16,7,3092.0,8.465434633812457,818476.0,17967.9,-1.0,-1.0,76.0,-1.0,1.0,-1.0,1.0,-1.0,1442000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0065,2026-01-16,7,3538.0,9.686516084873375,560297.0,16332.9,-1.0,-1.0,80.0,-1.0,1.0,-1.0,1.0,-1.0,2453000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0066,2026-01-16,7,3665.0,10.03422313483915,188569.0,11036.6,-1.0,-1.0,47.0,-1.0,1.0,-1.0,1.0,-1.0,956000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0067,2026-01-16,7,2105.0,5.763175906913073,197067.0,28924.2,-1.0,-1.0,37.0,-1.0,2.0,-1.0,1.0,-1.0,912000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0068,2026-01-16,7,2522.0,6.9048596851471595,723368.0,11760.7,-1.0,-1.0,422.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0069,2026-01-16,7,287.0,0.785763175906913,32576.0,4364.5,-1.0,-1.0,34.0,-1.0,1.0,-1.0,-1.0,-1.0,446000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0070,2026-01-16,7,2326.0,6.368240930869268,198534.0,10221.6,-1.0,-1.0,82.0,-1.0,1.0,-1.0,-1.0,-1.0,462000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0071,2026-01-16,7,3105.0,8.501026694045175,357960.0,39043.1,-1.0,-1.0,454.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0072,2026-01-16,7,-8.0,-0.02190280629705681,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0073,2026-01-16,7,3619.0,9.908281998631075,711062.0,14662.0,-1.0,-1.0,199.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0074,2026-01-16,7,1015.0,2.7789185489390826,96238.0,3780.6,-1.0,-1.0,173.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0075,2026-01-16,7,253.0,0.6926762491444216,43723.0,986.8,-1.0,-1.0,67.0,-1.0,1.0,-1.0,1.0,-1.0,749000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0076,2026-01-16,7,1311.0,3.589322381930185,81579.0,4486.1,-1.0,-1.0,29.0,1.0,3.0,1.0,3.0,950000.0,3828000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0077,2026-01-16,7,257.0,0.70362765229295,18031.0,2137.8,-1.0,-1.0,30.0,-1.0,1.0,-1.0,1.0,-1.0,1528000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0078,2026-01-16,7,-14.0,-0.038329911019849415,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0079,2026-01-16,7,-38.0,-0.10403832991101986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0080,2026-01-16,7,-60.0,-0.16427104722792607,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0081,2026-01-16,7,2300.0,6.297056810403833,242358.0,13541.5,-1.0,-1.0,25.0,1.0,4.0,-1.0,2.0,420000.0,2819000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0082,2026-01-16,7,610.0,1.6700889801505818,151768.0,2310.8,-1.0,-1.0,113.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0083,2026-01-16,7,3612.0,9.88911704312115,332619.0,8369.6,-1.0,-1.0,182.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0085,2026-01-16,7,-16.0,-0.04380561259411362,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0086,2026-01-16,7,1997.0,5.467488021902806,455903.0,8127.2,-1.0,-1.0,19.0,2.0,2.0,2.0,2.0,2370000.0,2370000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0088,2026-01-16,7,510.0,1.3963039014373717,26802.0,1632.3,-1.0,-1.0,59.0,-1.0,2.0,-1.0,1.0,-1.0,1058000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0089,2026-01-16,7,1741.0,4.766598220396989,242832.0,7125.3,-1.0,-1.0,865.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0090,2026-01-16,7,802.0,2.195756331279945,143668.0,2529.5,-1.0,-1.0,235.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0091,2026-01-16,7,-50.0,-0.13689253935660506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0093,2026-01-16,7,3516.0,9.626283367556468,228146.0,8900.9,-1.0,-1.0,12.0,1.0,2.0,1.0,2.0,3833000.0,5834000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0094,2026-01-16,7,-70.0,-0.19164955509924708,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0095,2026-01-16,7,2472.0,6.767967145790554,401045.0,11449.5,-1.0,-1.0,189.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0096,2026-01-16,7,627.0,1.7166324435318274,50341.0,2665.0,-1.0,-1.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0097,2026-01-16,7,3165.0,8.6652977412731,165840.0,7125.2,-1.0,-1.0,269.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0098,2026-01-16,7,3281.0,8.982888432580424,169177.0,15482.8,-1.0,-1.0,22.0,1.0,1.0,-1.0,-1.0,473000.0,473000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0099,2026-01-16,7,2754.0,7.540041067761807,155955.0,8779.9,-1.0,-1.0,2.0,1.0,1.0,1.0,1.0,1729000.0,1729000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,1,1,1729000.0,-1
ACE-0100,2026-01-16,7,139.0,0.3805612594113621,13641.0,484.3,-1.0,-1.0,6.0,2.0,2.0,-1.0,-1.0,764000.0,764000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,1,-1,383000.0,-1
ACE-0101,2026-01-16,7,752.0,2.0588637919233403,102064.0,2656.6,-1.0,-1.0,125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0102,2026-01-16,7,3941.0,10.789869952087612,868131.0,13704.6,-1.0,-1.0,11.0,1.0,3.0,1.0,3.0,1914000.0,6511000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0103,2026-01-16,7,1643.0,4.498288843258043,208091.0,6722.4,-1.0,-1.0,42.0,-1.0,2.0,-1.0,-1.0,-1.0,733000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0104,2026-01-16,7,1977.0,5.412731006160164,86731.0,6297.2,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0105,2026-01-16,7,2268.0,6.209445585215605,446223.0,8930.6,-1.0,-1.0,35.0,-1.0,2.0,-1.0,1.0,-1.0,1649000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0106,2026-01-16,7,553.0,1.514031485284052,157090.0,3167.9,-1.0,-1.0,9.0,2.0,3.0,2.0,3.0,2155000.0,4439000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
