sku,descripcion,stock_actual,lead_time_dias,criticidad,costo_unitario_clp,cobertura_dias,fecha_calculo,sistema,cantidad_promedio_por_intervencion,n_intervenciones_proximas,stock_requerido,brecha
REP-0107,Líquido de frenos DOT 3 para van,24.0,2,alta,8000.0,,2026-06-15 21:16:32.875587,sistema de frenos,12.4,2,24.8,-0.8
REP-0108,Líquido de frenos DOT 4 para auto liviano,24.0,2,alta,8000.0,,2026-06-15 21:16:34.448511,sistema de frenos,14.0,2,28.0,-4.0
REP-0109,Líquido de frenos DOT 4 para bus,24.0,2,alta,18000.0,,2026-06-15 21:16:36.250256,sistema de frenos,13.777777777777779,2,27.555555555555557,-3.555555555555556
REP-0110,Líquido de frenos DOT 4 para camioneta,24.0,2,alta,10000.0,,2026-06-15 21:16:38.068002,sistema de frenos,12.0,2,24.0,0.0
REP-0111,Líquido de frenos DOT 4 para camión liviano,24.0,2,alta,14000.0,,2026-06-15 21:16:39.580713,sistema de frenos,12.333333333333334,2,24.666666666666668,-0.6666666666666666
REP-0112,Líquido de frenos DOT 4 para camión pesado,24.0,2,alta,24000.0,,2026-06-15 21:16:41.286237,sistema de frenos,12.0,2,24.0,0.0
REP-0113,Líquido de frenos DOT 4 para van,24.0,11,alta,11000.0,,2026-06-15 21:16:42.914663,sistema de frenos,10.947368421052632,2,21.894736842105264,2.1052631578947367
REP-0114,Manguera flexible de freno delantera para auto liviano,24.0,11,alta,12000.0,,2026-06-15 21:16:44.459667,sistema de frenos,4.923076923076923,2,9.846153846153847,14.153846153846153
REP-0115,Manguera flexible de freno delantera para bus,24.0,11,alta,26000.0,,2026-06-15 21:16:45.954673,sistema de frenos,4.5,2,9.0,15.0
REP-0116,Manguera flexible de freno delantera para camioneta,24.0,11,alta,15000.0,,2026-06-15 21:16:47.568901,sistema de frenos,5.090909090909091,2,10.181818181818182,13.818181818181818
REP-0117,Manguera flexible de freno delantera para camión liviano,24.0,11,alta,22000.0,,2026-06-15 21:16:49.166473,sistema de frenos,4.333333333333333,2,8.666666666666666,15.333333333333334
REP-0118,Manguera flexible de freno delantera para camión pesado,24.0,11,alta,36000.0,,2026-06-15 21:16:50.542705,sistema de frenos,4.0,2,8.0,16.0
REP-0119,Manguera flexible de freno delantera para van,24.0,11,alta,16000.0,,2026-06-15 21:16:51.988243,sistema de frenos,4.4,2,8.8,15.2
REP-0120,Manguera flexible de freno trasera para auto liviano,24.0,11,alta,12000.0,,2026-06-15 21:16:53.420562,sistema de frenos,5.0,2,10.0,14.0
REP-0121,Manguera flexible de freno trasera para bus,24.0,11,alta,26000.0,,2026-06-15 21:16:55.005472,sistema de frenos,4.0,2,8.0,16.0
REP-0122,Manguera flexible de freno trasera para camioneta,24.0,11,alta,15000.0,,2026-06-15 21:16:56.466614,sistema de frenos,4.0,2,8.0,16.0
REP-0123,Manguera flexible de freno trasera para camión liviano,24.0,11,alta,22000.0,,2026-06-15 21:16:57.940297,sistema de frenos,4.0,2,8.0,16.0
REP-0124,Manguera flexible de freno trasera para camión pesado,24.0,11,alta,36000.0,,2026-06-15 21:16:59.520966,sistema de frenos,4.8,2,9.6,14.4
REP-0125,Manguera flexible de freno trasera para van,24.0,11,alta,16000.0,,2026-06-15 21:17:01.318112,sistema de frenos,4.888888888888889,2,9.777777777777779,14.222222222222221
REP-0126,Pastillas de freno delanteras para auto liviano,24.0,11,alta,26000.0,,2026-06-15 21:17:02.728566,sistema de frenos,8.5,2,17.0,7.0
REP-0127,Pastillas de freno delanteras para bus,24.0,11,alta,57000.0,,2026-06-15 21:17:04.044259,sistema de frenos,8.285714285714286,2,16.571428571428573,7.428571428571429
REP-0128,Pastillas de freno delanteras para camioneta,24.0,11,alta,32000.0,,2026-06-15 21:17:05.363389,sistema de frenos,10.833333333333334,2,21.666666666666668,2.3333333333333335
REP-0129,Pastillas de freno delanteras para camión liviano,24.0,2,alta,47000.0,,2026-06-15 21:17:06.812651,sistema de frenos,8.0,2,16.0,8.0
REP-0130,Pastillas de freno delanteras para camión pesado,24.0,2,alta,78000.0,,2026-06-15 21:17:08.249225,sistema de frenos,11.0,2,22.0,2.0
REP-0131,Pastillas de freno delanteras para van,24.0,2,alta,35000.0,,2026-06-15 21:17:09.552394,sistema de frenos,8.631578947368421,2,17.263157894736842,6.7368421052631575
REP-0132,Pastillas de freno traseras para auto liviano,24.0,2,alta,25000.0,,2026-06-15 21:17:11.005713,sistema de frenos,9.793103448275863,2,19.586206896551726,4.413793103448276
REP-0133,Pastillas de freno traseras para bus,24.0,2,alta,54000.0,,2026-06-15 21:17:12.613518,sistema de frenos,10.222222222222221,2,20.444444444444443,3.555555555555556
REP-0134,Pastillas de freno traseras para camioneta,24.0,2,alta,31000.0,,2026-06-15 21:17:14.291120,sistema de frenos,9.272727272727273,2,18.545454545454547,5.454545454545455
REP-0135,Pastillas de freno traseras para camión liviano,24.0,2,alta,44000.0,,2026-06-15 21:17:15.836270,sistema de frenos,9.5,2,19.0,5.0
REP-0136,Pastillas de freno traseras para camión pesado,24.0,2,alta,74000.0,,2026-06-15 21:17:17.467661,sistema de frenos,6.666666666666667,2,13.333333333333334,10.666666666666666
REP-0137,Pastillas de freno traseras para van,24.0,2,alta,33000.0,,2026-06-15 21:17:19.058831,sistema de frenos,8.16,2,16.32,7.68
REP-0138,Sensor ABS delantero para auto liviano,24.0,3,alta,28000.0,,2026-06-15 21:17:20.592531,sistema de frenos,4.545454545454546,2,9.090909090909092,14.909090909090908
REP-0140,Sensor ABS delantero para camioneta,11.0,3,alta,35000.0,,2026-06-15 21:17:22.267302,sistema de frenos,4.0,2,8.0,3.0
REP-0141,Sensor ABS delantero para camión liviano,11.0,3,alta,50000.0,,2026-06-15 21:17:23.571438,sistema de frenos,5.714285714285714,2,11.428571428571429,-0.4285714285714286
REP-0142,Sensor ABS delantero para camión pesado,11.0,3,alta,84000.0,,2026-06-15 21:17:24.875783,sistema de frenos,0.0,2,0.0,11.0
REP-0143,Sensor ABS delantero para van,11.0,3,alta,38000.0,,2026-06-15 21:17:26.351726,sistema de frenos,4.923076923076923,2,9.846153846153847,1.1538461538461537
REP-0144,Sensor ABS trasero para auto liviano,11.0,3,alta,28000.0,,2026-06-15 21:17:27.978275,sistema de frenos,4.166666666666667,2,8.333333333333334,2.6666666666666665
REP-0145,Sensor de desgaste de pastillas de freno para auto liviano,11.0,3,media,15000.0,,2026-06-15 21:17:29.636377,sistema de frenos,9.055555555555555,2,18.11111111111111,-7.111111111111112
REP-0146,Sensor de desgaste de pastillas de freno para bus,11.0,3,media,33000.0,,2026-06-15 21:17:31.302517,sistema de frenos,9.032258064516128,2,18.064516129032256,-7.064516129032258
REP-0147,Sensor de desgaste de pastillas de freno para camioneta,11.0,3,media,19000.0,,2026-06-15 21:17:32.728926,sistema de frenos,9.151515151515152,2,18.303030303030305,-7.303030303030303
REP-0148,Sensor de desgaste de pastillas de freno para camión liviano,11.0,3,media,27000.0,,2026-06-15 21:17:34.059121,sistema de frenos,9.627118644067796,2,19.25423728813559,-8.254237288135593
REP-0149,Sensor de desgaste de pastillas de freno para camión pesado,11.0,3,media,45000.0,,2026-06-15 21:17:35.867914,sistema de frenos,10.307692307692308,2,20.615384615384617,-9.615384615384615
REP-0150,Sensor de desgaste de pastillas de freno para van,11.0,3,media,20000.0,,2026-06-15 21:17:37.489782,sistema de frenos,9.573770491803279,2,19.147540983606557,-8.147540983606557
REP-0151,Servofreno para auto liviano,11.0,30,alta,95000.0,,2026-06-15 21:17:38.906816,sistema de frenos,0.0,2,0.0,11.0
REP-0152,Servofreno para bus,11.0,30,alta,210000.0,,2026-06-15 21:17:40.218233,sistema de frenos,0.0,2,0.0,11.0
REP-0153,Servofreno para camioneta,11.0,30,alta,120000.0,,2026-06-15 21:17:41.792880,sistema de frenos,0.0,2,0.0,11.0
REP-0154,Servofreno para camión liviano,11.0,30,alta,170000.0,,2026-06-15 21:17:43.232991,sistema de frenos,0.0,2,0.0,11.0
REP-0155,Servofreno para camión pesado,11.0,30,alta,285000.0,,2026-06-15 21:17:44.546735,sistema de frenos,0.0,2,0.0,11.0
REP-0156,Servofreno para van,11.0,30,alta,130000.0,,2026-06-15 21:17:45.983569,sistema de frenos,0.0,2,0.0,11.0
REP-0157,Tambor de freno trasero para auto liviano,11.0,3,alta,45000.0,,2026-06-15 21:17:47.577770,sistema de frenos,6.0,2,12.0,-1.0
REP-0158,Tambor de freno trasero para bus,11.0,3,alta,99000.0,,2026-06-15 21:17:48.997198,sistema de frenos,0.0,2,0.0,11.0
REP-0159,Tambor de freno trasero para camioneta,11.0,3,alta,56000.0,,2026-06-15 21:17:50.466600,sistema de frenos,0.0,2,0.0,11.0
REP-0160,Tambor de freno trasero para camión liviano,11.0,3,alta,81000.0,,2026-06-15 21:17:52.079984,sistema de frenos,0.0,2,0.0,11.0
REP-0161,Tambor de freno trasero para camión pesado,11.0,3,alta,135000.0,,2026-06-15 21:17:53.588132,sistema de frenos,0.0,2,0.0,11.0
REP-0162,Tambor de freno trasero para van,11.0,3,alta,61000.0,,2026-06-15 21:17:54.897306,sistema de frenos,0.0,2,0.0,11.0
REP-0169,Bujía de iridio para auto liviano,24.0,2,media,12000.0,,2026-06-15 21:17:56.201099,motor,4.0,2,8.0,16.0
REP-0170,Bujía de iridio para bus,24.0,2,media,26000.0,,2026-06-15 21:17:57.665163,motor,4.0,2,8.0,16.0
REP-0171,Bujía de iridio para camioneta,24.0,2,media,15000.0,,2026-06-15 21:17:59.223460,motor,4.4,2,8.8,15.2
REP-0172,Bujía de iridio para camión liviano,24.0,2,media,22000.0,,2026-06-15 21:18:00.664524,motor,4.666666666666667,2,9.333333333333334,14.666666666666666
REP-0173,Bujía de iridio para camión pesado,24.0,2,media,36000.0,,2026-06-15 21:18:02.241664,motor,6.0,2,12.0,12.0
REP-0174,Bujía de iridio para van,24.0,2,media,16000.0,,2026-06-15 21:18:03.687401,motor,4.0,2,8.0,16.0
REP-0175,Bujía de níquel para auto liviano,24.0,2,media,5000.0,,2026-06-15 21:18:04.992114,motor,4.8,2,9.6,14.4
REP-0176,Bujía de níquel para bus,24.0,2,media,11000.0,,2026-06-15 21:18:06.316065,motor,4.444444444444445,2,8.88888888888889,15.11111111111111
REP-0177,Bujía de níquel para camioneta,24.0,2,media,6000.0,,2026-06-15 21:18:07.766762,motor,4.363636363636363,2,8.727272727272727,15.272727272727273
REP-0178,Bujía de níquel para camión liviano,24.0,2,media,9000.0,,2026-06-15 21:18:09.340957,motor,4.333333333333333,2,8.666666666666666,15.333333333333334
REP-0179,Bujía de níquel para camión pesado,24.0,2,media,15000.0,,2026-06-15 21:18:11.151184,motor,5.333333333333333,2,10.666666666666666,13.333333333333334
REP-0180,Bujía de níquel para van,24.0,2,media,7000.0,,2026-06-15 21:18:12.877779,motor,5.777777777777778,2,11.555555555555555,12.444444444444445
REP-0181,Bujía incandescente diésel para auto liviano,24.0,2,media,9000.0,,2026-06-15 21:18:14.578320,motor,4.0,2,8.0,16.0
REP-0182,Bujía incandescente diésel para bus,24.0,2,media,20000.0,,2026-06-15 21:18:16.129335,motor,5.5,2,11.0,13.0
REP-0183,Bujía incandescente diésel para camioneta,24.0,2,media,11000.0,,2026-06-15 21:18:17.848830,motor,4.0,2,8.0,16.0
REP-0184,Bujía incandescente diésel para camión liviano,24.0,2,media,16000.0,,2026-06-15 21:18:19.273854,motor,4.0,2,8.0,16.0
REP-0185,Bujía incandescente diésel para camión pesado,24.0,2,media,27000.0,,2026-06-15 21:18:20.726186,motor,4.444444444444445,2,8.88888888888889,15.11111111111111
REP-0186,Bujía incandescente diésel para van,24.0,2,media,12000.0,,2026-06-15 21:18:22.035469,motor,4.363636363636363,2,8.727272727272727,15.272727272727273
REP-0187,Correa de accesorios para auto liviano,24.0,2,media,14000.0,,2026-06-15 21:18:23.348800,motor,5.103448275862069,2,10.206896551724139,13.793103448275861
REP-0188,Correa de accesorios para bus,24.0,2,media,31000.0,,2026-06-15 21:18:24.645818,motor,4.615384615384615,2,9.23076923076923,14.76923076923077
REP-0189,Correa de accesorios para camioneta,24.0,2,media,18000.0,,2026-06-15 21:18:26.509995,motor,4.625,2,9.25,14.75
REP-0190,Correa de accesorios para camión liviano,24.0,2,media,25000.0,,2026-06-15 21:18:28.227902,motor,4.888888888888889,2,9.777777777777779,14.222222222222221
REP-0191,Correa de accesorios para camión pesado,24.0,2,media,42000.0,,2026-06-15 21:18:29.830818,motor,4.0,2,8.0,16.0
REP-0192,Correa de accesorios para van,24.0,2,media,19000.0,,2026-06-15 21:18:31.329952,motor,4.833333333333333,2,9.666666666666666,14.333333333333334
REP-0193,Correa de distribución para auto liviano,24.0,2,alta,12000.0,,2026-06-15 21:18:32.789140,motor,4.5,2,9.0,15.0
REP-0194,Correa de distribución para bus,24.0,2,alta,26000.0,,2026-06-15 21:18:34.396666,motor,4.75,2,9.5,14.5
REP-0208,Filtro de aire para camión liviano,22.0,2,media,13000.0,,2026-06-15 21:18:35.920488,motor,9.393939393939394,2,18.78787878787879,3.2121212121212124
REP-0209,Filtro de aire para camión pesado,22.0,2,media,21000.0,,2026-06-15 21:18:37.360245,motor,9.68421052631579,2,19.36842105263158,2.631578947368421
REP-0210,Filtro de aire para van,22.0,2,media,9500.0,,2026-06-15 21:18:38.801245,motor,10.34920634920635,2,20.6984126984127,1.3015873015873016
REP-0211,Kit de distribución para auto liviano,22.0,3,alta,52000.0,,2026-06-15 21:18:40.121692,motor,0.0,2,0.0,22.0
REP-0212,Kit de distribución para bus,22.0,3,alta,115000.0,,2026-06-15 21:18:41.422441,motor,0.0,2,0.0,22.0
REP-0213,Kit de distribución para camioneta,22.0,3,alta,65000.0,,2026-06-15 21:18:42.868373,motor,0.0,2,0.0,22.0
REP-0214,Kit de distribución para camión liviano,22.0,3,alta,94000.0,,2026-06-15 21:18:44.511105,motor,0.0,2,0.0,22.0
REP-0215,Kit de distribución para camión pesado,22.0,3,alta,155000.0,,2026-06-15 21:18:46.078792,motor,0.0,2,0.0,22.0
REP-0216,Kit de distribución para van,22.0,3,alta,70000.0,,2026-06-15 21:18:47.592550,motor,0.0,2,0.0,22.0
REP-0220,Rodamiento auxiliar de correa de distribución para camión liviano,7.0,3,alta,32000.0,,2026-06-15 21:18:48.894171,motor,4.0,2,8.0,-1.0
REP-0221,Rodamiento auxiliar de correa de distribución para camión pesado,6.0,3,alta,54000.0,,2026-06-15 21:18:50.199916,motor,0.0,2,0.0,6.0
REP-0222,Rodamiento auxiliar de correa de distribución para van,10.0,3,alta,24000.0,,2026-06-15 21:18:51.744566,motor,4.0,2,8.0,2.0
REP-0223,Soporte de motor derecho para auto liviano,22.0,4,media,45000.0,,2026-06-15 21:18:53.281877,motor,0.0,2,0.0,22.0
REP-0224,Soporte de motor derecho para bus,22.0,4,media,99000.0,,2026-06-15 21:18:54.676876,motor,0.0,2,0.0,22.0
REP-0225,Soporte de motor derecho para camioneta,22.0,4,media,56000.0,,2026-06-15 21:18:55.970215,motor,0.0,2,0.0,22.0
REP-0272,Manguera inferior de radiador para van,4.0,3,alta,22000.0,,2026-06-15 21:18:57.435195,sistema de enfriamiento,4.526315789473684,1,4.526315789473684,-0.5263157894736842
REP-0273,Manguera superior de radiador para auto liviano,4.0,3,alta,16000.0,,2026-06-15 21:18:58.991191,sistema de enfriamiento,4.516129032258064,1,4.516129032258064,-0.5161290322580645
REP-0061,Cilindro de rueda trasero para auto liviano,7.0,3,alta,18000.0,,2026-06-15 21:19:00.303552,sistema de frenos,0.0,2,0.0,7.0
REP-0274,Manguera superior de radiador para bus,4.0,3,alta,35000.0,,2026-06-15 21:19:01.613374,sistema de enfriamiento,4.8,1,4.8,-0.8
REP-0275,Manguera superior de radiador para camioneta,4.0,3,alta,20000.0,,2026-06-15 21:19:03.052306,sistema de enfriamiento,4.512820512820513,1,4.512820512820513,-0.5128205128205128
REP-0276,Manguera superior de radiador para camión liviano,4.0,3,alta,29000.0,,2026-06-15 21:19:04.620066,sistema de enfriamiento,4.444444444444445,1,4.444444444444445,-0.4444444444444444
REP-0277,Manguera superior de radiador para camión pesado,4.0,3,alta,48000.0,,2026-06-15 21:19:06.199161,sistema de enfriamiento,4.0,1,4.0,0.0
REP-0278,Manguera superior de radiador para van,4.0,3,alta,22000.0,,2026-06-15 21:19:07.983183,sistema de enfriamiento,4.875,1,4.875,-0.875
REP-0279,Radiador de agua para auto liviano,4.0,4,alta,65000.0,,2026-06-15 21:19:09.520958,sistema de enfriamiento,4.0,1,4.0,0.0
REP-0281,Radiador de agua para camioneta,4.0,4,alta,81000.0,,2026-06-15 21:19:11.048353,sistema de enfriamiento,4.0,1,4.0,0.0
REP-0282,Radiador de agua para camión liviano,4.0,4,alta,115000.0,,2026-06-15 21:19:12.354399,sistema de enfriamiento,0.0,1,0.0,4.0
REP-0283,Radiador de agua para camión pesado,4.0,4,alta,195000.0,,2026-06-15 21:19:13.865194,sistema de enfriamiento,0.0,1,0.0,4.0
REP-0284,Radiador de agua para van,4.0,4,alta,88000.0,,2026-06-15 21:19:15.385296,sistema de enfriamiento,0.0,1,0.0,4.0
REP-0285,Refrigerante concentrado para auto liviano,4.0,2,media,12000.0,,2026-06-15 21:19:16.684337,sistema de enfriamiento,12.222222222222221,1,12.222222222222221,-8.222222222222221
REP-0286,Refrigerante concentrado para bus,4.0,2,media,26000.0,,2026-06-15 21:19:18.253141,sistema de enfriamiento,10.0,1,10.0,-6.0
REP-0287,Refrigerante concentrado para camioneta,4.0,2,media,15000.0,,2026-06-15 21:19:19.701189,sistema de enfriamiento,11.384615384615385,1,11.384615384615385,-7.384615384615385
REP-0288,Refrigerante concentrado para camión liviano,4.0,2,media,22000.0,,2026-06-15 21:19:21.211415,sistema de enfriamiento,10.333333333333334,1,10.333333333333334,-6.333333333333333
REP-0289,Refrigerante concentrado para camión pesado,4.0,2,media,36000.0,,2026-06-15 21:19:23.009824,sistema de enfriamiento,20.0,1,20.0,-16.0
REP-0290,Refrigerante concentrado para van,4.0,2,media,16000.0,,2026-06-15 21:19:24.418205,sistema de enfriamiento,14.461538461538462,1,14.461538461538462,-10.461538461538462
REP-0291,Refrigerante listo para usar para auto liviano,4.0,2,media,9000.0,,2026-06-15 21:19:25.733820,sistema de enfriamiento,14.095238095238095,1,14.095238095238095,-10.095238095238095
REP-0292,Refrigerante listo para usar para bus,4.0,2,media,20000.0,,2026-06-15 21:19:27.033876,sistema de enfriamiento,14.133333333333333,1,14.133333333333333,-10.133333333333333
REP-0293,Refrigerante listo para usar para camioneta,4.0,2,media,11000.0,,2026-06-15 21:19:28.352463,sistema de enfriamiento,12.842105263157896,1,12.842105263157896,-8.842105263157896
REP-0294,Refrigerante listo para usar para camión liviano,4.0,2,media,16000.0,,2026-06-15 21:19:29.790731,sistema de enfriamiento,15.555555555555555,1,15.555555555555555,-11.555555555555555
REP-0295,Refrigerante listo para usar para camión pesado,4.0,2,media,27000.0,,2026-06-15 21:19:31.509031,sistema de enfriamiento,8.0,1,8.0,-4.0
REP-0297,Sensor de temperatura de refrigerante para auto liviano,4.0,3,alta,14000.0,,2026-06-15 21:19:33.086340,sistema de enfriamiento,13.647058823529411,1,13.647058823529411,-9.647058823529411
REP-0298,Sensor de temperatura de refrigerante para bus,4.0,3,alta,31000.0,,2026-06-15 21:19:34.644761,sistema de enfriamiento,6.666666666666667,1,6.666666666666667,-2.6666666666666665
REP-0299,Sensor de temperatura de refrigerante para camioneta,4.0,3,alta,18000.0,,2026-06-15 21:19:35.948330,sistema de enfriamiento,15.384615384615385,1,15.384615384615385,-11.384615384615385
