sku,descripcion,sistema,componente,proveedor_principal,lead_time_dias_promedio,costo_unitario_clp,stock_actual,stock_minimo,criticidad,rotacion,activo,updated_at
REP-0527,Buje de barra estabilizadora delantera para camioneta,Suspensión,,No indicado,2.0,7500.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0823,Ampolleta W5W 12 V para bus,Iluminación,,No indicado,2.0,7500.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0108,Líquido de frenos DOT 4 para auto liviano,Sistema de frenos,,No indicado,2.0,8000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0107,Líquido de frenos DOT 3 para van,Sistema de frenos,,No indicado,2.0,8000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0762,Plumilla limpiaparabrisas 16 pulgadas para auto liviano,Carrocería,,No indicado,2.0,8000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0307,Tapa de radiador para van,Sistema de enfriamiento,,No indicado,2.0,8000.0,160.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0649,Prefiltro de combustible para camioneta,Sistema de combustible,,No indicado,2.0,8000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0920,Filtro de aceite para van,Lubricación,,No indicado,2.0,8000.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0530,Buje de barra estabilizadora delantera para van,Suspensión,,No indicado,2.0,8000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0013,Bujía estándar,Motor,,No indicado,30.0,8000.0,5.0,5.0,media,media,True,2026-05-22 20:41:10.387996
REP-0804,Ampolleta H7 12 V para auto liviano,Iluminación,,No indicado,2.0,8000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0768,Plumilla limpiaparabrisas 18 pulgadas para auto liviano,Carrocería,,No indicado,2.0,8500.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0734,Tuerca de rueda para camión pesado,Neumáticos y ruedas,,No indicado,2.0,9000.0,25.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0726,Perno de rueda para camión liviano,Neumáticos y ruedas,,No indicado,2.0,9000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0859,Filtro de cabina para auto liviano,Climatización,,No indicado,2.0,9000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0740,Válvula de neumático para camión pesado,Neumáticos y ruedas,,No indicado,2.0,9000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0458,Relay principal para camioneta,Sistema eléctrico,,No indicado,2.0,9000.0,75.0,50.0,media,media,True,2026-05-22 20:41:10.387996
REP-0291,Refrigerante listo para usar para auto liviano,Sistema de enfriamiento,,No indicado,2.0,9000.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0652,Prefiltro de combustible para van,Sistema de combustible,,No indicado,2.0,9000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0711,Grasa para rodamientos de rueda para auto liviano,Neumáticos y ruedas,,No indicado,2.0,9000.0,10.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0207,Filtro de aire para camioneta,Motor,,No indicado,2.0,9000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0519,Buje de bandeja de suspensión delantera para auto liviano,Suspensión,,No indicado,2.0,9000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0181,Bujía incandescente diésel para auto liviano,Motor,,No indicado,2.0,9000.0,23.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0178,Bujía de níquel para camión liviano,Motor,,No indicado,2.0,9000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0430,Borne de batería positivo para camión liviano,Sistema eléctrico,,No indicado,2.0,9000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0424,Borne de batería negativo para camión liviano,Sistema eléctrico,,No indicado,2.0,9000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0817,Ampolleta P21W 12 V para bus,Iluminación,,No indicado,2.0,9000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0798,Ampolleta H4 12 V para auto liviano,Iluminación,,No indicado,2.0,9000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0789,Ampolleta H1 12 V para camión liviano,Iluminación,,No indicado,2.0,9000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0758,Plumilla limpiaparabrisas 14 pulgadas para camioneta,Carrocería,,No indicado,2.0,9500.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0625,Filtro de combustible para camioneta,Sistema de combustible,,No indicado,2.0,9500.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0210,Filtro de aire para van,Motor,,No indicado,2.0,9500.0,21.0,21.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0110,Líquido de frenos DOT 4 para camioneta,Sistema de frenos,,No indicado,2.0,10000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0774,Plumilla limpiaparabrisas 22 pulgadas para auto liviano,Carrocería,,No indicado,2.0,10000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0764,Plumilla limpiaparabrisas 16 pulgadas para camioneta,Carrocería,,No indicado,2.0,10000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0761,Plumilla limpiaparabrisas 14 pulgadas para van,Carrocería,,No indicado,2.0,10000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0628,Filtro de combustible para van,Sistema de combustible,,No indicado,2.0,10000.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0826,Ampolleta W5W 12 V para camión pesado,Iluminación,,No indicado,2.0,10000.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0806,Ampolleta H7 12 V para camioneta,Iluminación,,No indicado,2.0,10000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0724,Perno de rueda para bus,Neumáticos y ruedas,,No indicado,2.0,11000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0113,Líquido de frenos DOT 4 para van,Sistema de frenos,,No indicado,11.0,11000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0103,Líquido de frenos DOT 3 para camión liviano,Sistema de frenos,,No indicado,2.0,11000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0773,Plumilla limpiaparabrisas 18 pulgadas para van,Carrocería,,No indicado,2.0,11000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0770,Plumilla limpiaparabrisas 18 pulgadas para camioneta,Carrocería,,No indicado,2.0,11000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0767,Plumilla limpiaparabrisas 16 pulgadas para van,Carrocería,,No indicado,2.0,11000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0861,Filtro de cabina para camioneta,Climatización,,No indicado,2.0,11000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0305,Tapa de radiador para camión liviano,Sistema de enfriamiento,,No indicado,2.0,11000.0,160.0,20.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0293,Refrigerante listo para usar para camioneta,Sistema de enfriamiento,,No indicado,2.0,11000.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0713,Grasa para rodamientos de rueda para camioneta,Neumáticos y ruedas,,No indicado,2.0,11000.0,23.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0918,Filtro de aceite para camión liviano,Lubricación,,No indicado,2.0,11000.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0528,Buje de barra estabilizadora delantera para camión liviano,Suspensión,,No indicado,2.0,11000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0521,Buje de bandeja de suspensión delantera para camioneta,Suspensión,,No indicado,2.0,11000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0183,Bujía incandescente diésel para camioneta,Motor,,No indicado,2.0,11000.0,23.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0176,Bujía de níquel para bus,Motor,,No indicado,2.0,11000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0428,Borne de batería positivo para bus,Sistema eléctrico,,No indicado,2.0,11000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0422,Borne de batería negativo para bus,Sistema eléctrico,,No indicado,2.0,11000.0,25.0,25.0,media,media,True,2026-05-22 20:41:10.387996
REP-0809,Ampolleta H7 12 V para van,Iluminación,,No indicado,2.0,11000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0800,Ampolleta H4 12 V para camioneta,Iluminación,,No indicado,2.0,11000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0787,Ampolleta H1 12 V para bus,Iluminación,,No indicado,2.0,11000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0308,Termostato para auto liviano,Sistema de enfriamiento,,No indicado,3.0,12000.0,33.0,25.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0593,Terminal de dirección exterior izquierdo para auto liviano,Dirección,,No indicado,2.0,12000.0,22.0,0.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0587,Terminal de dirección exterior derecho para auto liviano,Dirección,,No indicado,2.0,12000.0,60.0,8.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0120,Manguera flexible de freno trasera para auto liviano,Sistema de frenos,,No indicado,11.0,12000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0114,Manguera flexible de freno delantera para auto liviano,Sistema de frenos,,No indicado,11.0,12000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0193,Correa de distribución para auto liviano,Motor,,No indicado,2.0,12000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0729,Tapa de rueda para auto liviano,Neumáticos y ruedas,,No indicado,3.0,12000.0,23.0,23.0,baja,baja,True,2026-05-22 20:41:10.387996
REP-0780,Plumilla limpiaparabrisas 26 pulgadas para auto liviano,Carrocería,,No indicado,2.0,12000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0776,Plumilla limpiaparabrisas 22 pulgadas para camioneta,Carrocería,,No indicado,2.0,12000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0864,Filtro de cabina para van,Climatización,,No indicado,2.0,12000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0243,Válvula PCV para auto liviano,Motor,,No indicado,3.0,12000.0,55.0,20.0,media,media,True,2026-05-22 20:41:10.387996
REP-0296,Refrigerante listo para usar para van,Sistema de enfriamiento,,No indicado,2.0,12000.0,33.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0285,Refrigerante concentrado para auto liviano,Sistema de enfriamiento,,No indicado,2.0,12000.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0650,Prefiltro de combustible para camión liviano,Sistema de combustible,,No indicado,2.0,12000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0716,Grasa para rodamientos de rueda para van,Neumáticos y ruedas,,No indicado,2.0,12000.0,23.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0524,Buje de bandeja de suspensión delantera para van,Suspensión,,No indicado,2.0,12000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0186,Bujía incandescente diésel para van,Motor,,No indicado,2.0,12000.0,23.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0169,Bujía de iridio para auto liviano,Motor,,No indicado,2.0,12000.0,23.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0513,Bieleta de barra estabilizadora trasera para auto liviano,Suspensión,,No indicado,2.0,12000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0507,Bieleta de barra estabilizadora delantera para auto liviano,Suspensión,,No indicado,2.0,12000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0820,Ampolleta P21W 12 V para camión pesado,Iluminación,,No indicado,2.0,12000.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0803,Ampolleta H4 12 V para van,Iluminación,,No indicado,2.0,12000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0792,Ampolleta H11 12 V para auto liviano,Iluminación,,No indicado,2.0,12000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0099,Líquido de frenos DOT 3 para bus,Sistema de frenos,,No indicado,2.0,13000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0303,Tapa de radiador para bus,Sistema de enfriamiento,,No indicado,2.0,13000.0,160.0,20.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0208,Filtro de aire para camión liviano,Motor,,No indicado,2.0,13000.0,21.0,21.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0916,Filtro de aceite para bus,Lubricación,,No indicado,2.0,13000.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0526,Buje de barra estabilizadora delantera para bus,Suspensión,,No indicado,2.0,13000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0297,Sensor de temperatura de refrigerante para auto liviano,Sistema de enfriamiento,,No indicado,3.0,14000.0,3.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0111,Líquido de frenos DOT 4 para camión liviano,Sistema de frenos,,No indicado,2.0,14000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0782,Plumilla limpiaparabrisas 26 pulgadas para camioneta,Carrocería,,No indicado,2.0,14000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0779,Plumilla limpiaparabrisas 22 pulgadas para van,Carrocería,,No indicado,2.0,14000.0,0.0,0.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0765,Plumilla limpiaparabrisas 16 pulgadas para camión liviano,Carrocería,,No indicado,2.0,14000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0759,Plumilla limpiaparabrisas 14 pulgadas para camión liviano,Carrocería,,No indicado,2.0,14000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0648,Prefiltro de combustible para bus,Sistema de combustible,,No indicado,2.0,14000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0626,Filtro de combustible para camión liviano,Sistema de combustible,,No indicado,2.0,14000.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0187,Correa de accesorios para auto liviano,Motor,,No indicado,2.0,14000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0807,Ampolleta H7 12 V para camión liviano,Iluminación,,No indicado,2.0,14000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0310,Termostato para camioneta,Sistema de enfriamiento,,No indicado,3.0,15000.0,33.0,25.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0595,Terminal de dirección exterior izquierdo para camioneta,Dirección,,No indicado,2.0,15000.0,12.0,12.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0589,Terminal de dirección exterior derecho para camioneta,Dirección,,No indicado,2.0,15000.0,1.0,1.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0727,Perno de rueda para camión pesado,Neumáticos y ruedas,,No indicado,2.0,15000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0122,Manguera flexible de freno trasera para camioneta,Sistema de frenos,,No indicado,11.0,15000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0116,Manguera flexible de freno delantera para camioneta,Sistema de frenos,,No indicado,11.0,15000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0195,Correa de distribución para camioneta,Motor,,No indicado,2.0,15000.0,0.0,0.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0771,Plumilla limpiaparabrisas 18 pulgadas para camión liviano,Carrocería,,No indicado,2.0,15000.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0245,Válvula PCV para camioneta,Motor,,No indicado,3.0,15000.0,55.0,20.0,media,media,True,2026-05-22 20:41:10.387996
REP-0145,Sensor de desgaste de pastillas de freno para auto liviano,Sistema de frenos,,No indicado,3.0,15000.0,10.0,10.0,media,media,True,2026-05-22 20:41:10.387996
REP-0287,Refrigerante concentrado para camioneta,Sistema de enfriamiento,,No indicado,2.0,15000.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0206,Filtro de aire para bus,Motor,,No indicado,2.0,15000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0002,Filtro de aire estándar,Motor,,No indicado,30.0,15000.0,5.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0179,Bujía de níquel para camión pesado,Motor,,No indicado,2.0,15000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0171,Bujía de iridio para camioneta,Motor,,No indicado,2.0,15000.0,23.0,23.0,media,media,True,2026-05-22 20:41:10.387996
REP-0431,Borne de batería positivo para camión pesado,Sistema eléctrico,,No indicado,2.0,15000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0425,Borne de batería negativo para camión pesado,Sistema eléctrico,,No indicado,2.0,15000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0515,Bieleta de barra estabilizadora trasera para camioneta,Suspensión,,No indicado,2.0,15000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0509,Bieleta de barra estabilizadora delantera para camioneta,Suspensión,,No indicado,2.0,15000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0790,Ampolleta H1 12 V para camión pesado,Iluminación,,No indicado,2.0,15000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0313,Termostato para van,Sistema de enfriamiento,,No indicado,3.0,16000.0,33.0,25.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0598,Terminal de dirección exterior izquierdo para van,Dirección,,No indicado,2.0,16000.0,0.0,0.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0592,Terminal de dirección exterior derecho para van,Dirección,,No indicado,2.0,16000.0,13.0,13.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0237,Tensor de correa de distribución para auto liviano,Motor,,No indicado,3.0,16000.0,60.0,2.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0994,Sensor de presión de aceite para auto liviano,Sensores y electrónica,,No indicado,3.0,16000.0,8.0,0.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0273,Manguera superior de radiador para auto liviano,Sistema de enfriamiento,,No indicado,3.0,16000.0,3.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0267,Manguera inferior de radiador para auto liviano,Sistema de enfriamiento,,No indicado,3.0,16000.0,0.0,0.0,alta,media,True,2026-05-22 20:41:10.387996
