created_at,modo,palabras_claves,id_modo_falla
2026-05-31 04:17:53.269650+00:00,rodamiento_ruido,"rodamiento,ruido rueda,zumbido rueda,maza",49
2026-05-31 04:17:53.269650+00:00,quemado,"quemado,fundido,se quemo,ampolleta quemada",50
2026-05-31 04:17:53.269650+00:00,intermitente,"intermitente,a ratos,por momentos,falla intermitente",51
2026-05-31 04:17:53.269650+00:00,dano,"dano,danado,golpeado,roto carroceria,abollado",52
2026-05-31 04:17:53.269650+00:00,deformacion,"deformacion,deformado,torcido,doblado",53
2026-05-31 04:17:53.269650+00:00,no_enfria,"no enfria,no enfria ac,sin frio,aire caliente",54
2026-05-31 04:17:53.269650+00:00,ventilador_falla,"ventilador no gira,ventilador falla,electroventilador",55
2026-05-31 04:17:53.269650+00:00,no_acciona,"no acciona,no levanta,no responde hidraulico,no opera pto",56
2026-05-31 04:17:53.269650+00:00,sobretemperatura,"sobretemperatura,temperatura alta bateria,celda caliente",57
2026-05-31 04:17:53.269650+00:00,degradacion,"degradacion,soh bajo,autonomia reducida,perdida capacidad",58
2026-05-31 04:17:53.269650+00:00,desbalance,"desbalance celdas,diferencia voltaje,desequilibrio",59
2026-05-31 04:17:53.269650+00:00,aislamiento_bajo,"aislamiento bajo,fuga hv,fallo aislamiento,hv leak",60
2026-05-31 04:17:53.269650+00:00,inversor_falla,"inversor falla,fallo inversor,error inversor",61
2026-05-31 04:17:53.269650+00:00,motor_falla,"motor electrico falla,fallo motor traccion",62
2026-05-31 04:17:53.269650+00:00,carga_lenta,"carga lenta,carga demora,carga reducida",63
2026-05-31 04:17:53.269650+00:00,regeneracion_baja,"regeneracion baja,poca regeneracion,freno regen debil",64
2026-05-31 04:17:53.269650+00:00,fallo_sistema_hibrido,"fallo sistema hibrido,error hibrido,check hybrid",65
2026-05-31 04:17:53.269650+00:00,sin_senal,"sin senal,sin gps,perdida senal,sin cobertura",66
2026-05-31 04:17:53.269650+00:00,sensor_sucio,"sensor sucio,camara sucia,radar obstruido,lente sucio",67
2026-05-31 04:17:53.269650+00:00,desconexion,"desconexion,desconectado,perdida conexion,offline",68
2026-05-31 04:17:53.269650+00:00,mala_conexion,"mala conexion,conexion deficiente,contacto deficiente",69
